iter	Passed	Remaining
404	7208	10590
405	7230	10578
406	7250	10564
407	7267	10544
408	7286	10529
409	7302	10509
410	7319	10488
411	7333	10466
412	7347	10443
413	7361	10420
414	7375	10396
415	7388	10372
416	7403	10350
417	7417	10327
418	7430	10304
419	7446	10282
420	7463	10264
421	7478	10243
422	7492	10219
423	7505	10196
424	7521	10175
425	7539	10158
426	7565	10152
427	7585	10137
428	7603	10120
429	7621	10102
430	7652	10103
431	7681	10099
432	7711	10097
433	7736	10089
434	7759	10078
435	7776	10059
436	7792	10039
437	7807	10018
438	7828	10003
439	7858	10001
440	7881	9990
441	7913	9990
442	7943	9987
443	7967	9976
444	7995	9972
445	8020	9962
446	8066	9979
447	8090	9968
448	8108	9950
449	8122	9927
450	8137	9905
451	8150	9881
452	8164	9858
453	8177	9834
454	8197	9818
455	8213	9798
456	8230	9779
457	8246	9759
458	8266	9743
459	8292	9735
460	8319	9727
461	8335	9706
462	8349	9684
463	8364	9662
464	8379	9640
465	8393	9618
466	8412	9601
467	8429	9582
468	8445	9561
469	8465	9546
470	8486	9532
471	8508	9517
472	8530	9504
473	8568	9508
474	8596	9501
475	8641	9512
476	8666	9501
477	8702	9503
478	8758	9526
479	8798	9532
480	8814	9510
481	8830	9490
482	8844	9467
483	8860	9445
484	8874	9423
485	8892	9405
486	8908	9384
487	8924	9363
488	8941	9343
489	8958	9324
490	8975	9304
491	8991	9283
492	9004	9260
493	9018	9237
494	9032	9215
495	9046	9192
496	9060	9169
497	9074	9147
498	9090	9126
499	9104	9104
500	9118	9082
501	9133	9060
502	9146	9037
503	9161	9015
504	9175	8994
505	9189	8971
506	9203	8949
507	9216	8926
508	9229	8903
509	9244	8881
510	9257	8859
511	9271	8836
512	9285	8814
513	9301	8794
514	9318	8776
515	9337	8758
516	9356	8741
517	9382	8730
518	9414	8725
519	9443	8717
520	9473	8709
521	9495	8695
522	9515	8678
523	9546	8672
524	9571	8659
525	9597	8648
526	9624	8638
527	9646	8623
528	9674	8614
529	9702	8604
530	9721	8586
531	9737	8566
532	9751	8544
533	9765	8522
534	9779	8499
535	9793	8477
536	9807	8455
537	9820	8433
538	9835	8412
539	9852	8393
540	9869	8373
541	9884	8352
542	9898	8331
543	9914	8310
544	9928	8289
545	9942	8267
546	9957	8246
547	9974	8226
548	9990	8207
549	10011	8191
550	10031	8174
551	10056	8161
552	10084	8151
553	10110	8139
554	10126	8119
555	10140	8097
556	10153	8075
557	10167	8053
558	10182	8032
559	10196	8011
560	10210	7990
561	10224	7968
562	10238	7947
563	10252	7926
564	10266	7904
565	10279	7882
566	10292	7860
567	10304	7837
568	10317	7815
569	10330	7793
570	10342	7770
571	10355	7748
572	10368	7726
573	10381	7704
574	10394	7682
575	10406	7660
576	10418	7637
577	10430	7615
578	10444	7594
579	10457	7572
580	10471	7551
581	10485	7530
582	10498	7508
583	10510	7487
584	10524	7465
585	10536	7444
586	10549	7422
587	10562	7401
588	10575	7379
589	10588	7357
590	10600	7336
591	10617	7317
592	10630	7296
593	10645	7275
594	10658	7255
595	10671	7233
596	10684	7212
597	10697	7191
598	10709	7169
599	10721	7147
600	10734	7126
601	10746	7104
602	10758	7083
603	10771	7061
604	10783	7040
605	10795	7018
606	10807	6997
607	10822	6977
608	10838	6958
609	10853	6939
610	10866	6918
611	10878	6896
612	10891	6875
613	10903	6854
614	10916	6833
615	10928	6812
616	10941	6791
617	10953	6770
618	10966	6749
619	10978	6728
620	10990	6707
621	11003	6686
622	11015	6666
623	11027	6645
624	11040	6624
625	11053	6603
626	11065	6582
627	11077	6561
628	11089	6541
629	11103	6520
630	11115	6500
631	11128	6479
632	11140	6459
633	11153	6438
634	11165	6417
635	11178	6397
636	11190	6377
637	11203	6356
638	11215	6336
639	11228	6316
640	11241	6295
641	11253	6275
642	11266	6255
643	11278	6234
644	11290	6214
645	11303	6194
646	11315	6173
647	11333	6156
648	11362	6145
649	11398	6137
650	11422	6123
651	11445	6108
652	11477	6099
653	11510	6089
654	11540	6078
655	11581	6073
656	11606	6059
657	11629	6044
658	11650	6028
659	11677	6015
660	11702	6001
661	11733	5990
662	11770	5983
663	11800	5971
664	11828	5958
665	11851	5943
666	11882	5932
667	11907	5918
668	11926	5901
669	11953	5887
670	11979	5873
671	12001	5858
672	12021	5841
673	12050	5828
674	12078	5815
675	12100	5799
676	12128	5786
677	12152	5771
678	12174	5755
679	12192	5737
680	12211	5720
681	12233	5704
682	12253	5687
683	12289	5677
684	12320	5665
685	12347	5651
686	12374	5637
687	12401	5624
688	12426	5609
689	12444	5591
690	12459	5571
691	12474	5552
692	12490	5533
693	12509	5515
694	12532	5499
695	12555	5484
696	12576	5467
697	12602	5452
698	12647	5446
699	12673	5431
700	12699	5416
701	12728	5403
702	12759	5390
703	12787	5376
704	12814	5361
705	12841	5347
706	12869	5333
707	12907	5323
708	12944	5312
709	12982	5302
710	13005	5286
711	13039	5274
712	13086	5267
